Id,rating,movieId,userId
1,4,1,1
2,4,3,1
3,4,6,1
4,5,47,1
5,5,50,1
6,3,70,1
7,5,101,1
8,4,110,1
9,5,151,1
10,5,157,1
11,5,163,1
12,5,216,1
13,3,223,1
14,5,231,1
15,4,235,1
16,5,260,1
17,3,296,1
18,3,316,1
19,5,333,1
20,4,349,1
21,4,356,1
22,5,362,1
23,4,367,1
24,3,423,1
25,4,441,1
26,5,457,1
27,4,480,1
28,3,500,1
29,5,527,1
30,4,543,1
31,4,552,1
32,5,553,1
33,4,590,1
34,4,592,1
35,4,593,1
36,5,596,1
37,5,608,1
38,3,648,1
39,5,661,1
40,3,673,1
41,4,733,1
42,3,736,1
43,3,780,1
44,4,804,1
45,5,919,1
46,5,923,1
47,5,940,1
48,4,943,1
49,5,954,1
50,3,1009,1
51,5,1023,1
52,5,1024,1
53,5,1025,1
54,5,1029,1
55,3,1030,1
56,5,1031,1
57,5,1032,1
58,4,1042,1
59,5,1049,1
60,4,1060,1
61,5,1073,1
62,5,1080,1
63,5,1089,1
64,4,1090,1
65,5,1092,1
66,5,1097,1
67,4,1127,1
68,5,1136,1
69,5,1196,1
70,5,1197,1
71,5,1198,1
72,5,1206,1
73,4,1208,1
74,5,1210,1
75,5,1213,1
76,4,1214,1
77,2,1219,1
78,5,1220,1
79,5,1222,1
80,5,1224,1
81,5,1226,1
82,5,1240,1
83,5,1256,1
84,3,1258,1
85,4,1265,1
86,5,1270,1
87,5,1275,1
88,5,1278,1
89,5,1282,1
90,5,1291,1
91,5,1298,1
92,4,1348,1
93,3,1377,1
94,3,1396,1
95,3,1408,1
96,3,1445,1
97,4,1473,1
98,4,1500,1
99,5,1517,1
100,4,1552,1
101,5,1573,1
102,3,1580,1
103,5,1587,1
104,5,1617,1
105,4,1620,1
106,5,1625,1
107,3,1644,1
108,3,1676,1
109,5,1732,1
110,4,1777,1
111,4,1793,1
112,5,1804,1
113,4,1805,1
114,4,1920,1
115,5,1927,1
116,5,1954,1
117,4,1967,1
118,4,2000,1
119,5,2005,1
120,4,2012,1
121,5,2018,1
122,4,2028,1
123,5,2033,1
124,4,2046,1
125,5,2048,1
126,4,2054,1
127,5,2058,1
128,5,2078,1
129,5,2090,1
130,3,2093,1
131,5,2094,1
132,4,2096,1
133,4,2099,1
134,4,2105,1
135,5,2115,1
136,5,2116,1
137,5,2137,1
138,5,2139,1
139,5,2141,1
140,4,2143,1
141,5,2161,1
142,4,2174,1
143,4,2193,1
144,2,2253,1
145,4,2268,1
146,4,2273,1
147,5,2291,1
148,5,2329,1
149,2,2338,1
150,5,2353,1
151,4,2366,1
152,5,2387,1
153,2,2389,1
154,5,2395,1
155,4,2406,1
156,3,2414,1
157,5,2427,1
158,4,2450,1
159,5,2459,1
160,5,2470,1
161,4,2478,1
162,4,2492,1
163,5,2502,1
164,3,2528,1
165,5,2529,1
166,5,2542,1
167,5,2571,1
168,5,2580,1
169,5,2596,1
170,4,2616,1
171,2,2617,1
172,4,2628,1
173,4,2640,1
174,5,2641,1
175,4,2644,1
176,4,2648,1
177,5,2654,1
178,3,2657,1
179,5,2692,1
180,5,2700,1
181,5,2716,1
182,5,2761,1
183,4,2797,1
184,4,2826,1
185,5,2858,1
186,5,2872,1
187,5,2899,1
188,4,2916,1
189,5,2944,1
190,5,2947,1
191,5,2948,1
192,5,2949,1
193,5,2959,1
194,4,2985,1
195,5,2987,1
196,5,2991,1
197,5,2993,1
198,4,2997,1
199,5,3033,1
200,5,3034,1
201,5,3052,1
202,5,3053,1
203,4,3062,1
